description,industry,level,size,line_code,value,Unit,Footnotes
Importance of delivery of goods and services to customers: not important,"Electricity, gas, water, & waste services",1,total,C0204.01,6,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of delivery of goods and services to customers: not important,Construction,1,total,C0204.01,48,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Wholesale trade,1,total,C0204.01,21,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Machinery & equipment wholesaling,2,total,C0204.01,18,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Other wholesale trade,2,total,C0204.01,0,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Retail trade,1,total,C0204.01,18,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Accommodation & food services,1,total,C0204.01,570,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,"Transport, postal, & warehousing",1,total,C0204.01,0,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Information media & telecommunications,1,total,C0204.01,6,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Publishing,2,total,C0204.01,0,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Motion picture,2,total,C0204.01,0,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Telecommunications,2,total,C0204.01,3,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Financial & insurance services,1,total,C0204.01,27,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Finance,2,total,C0204.01,21,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Insurance,2,total,C0204.01,0,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Auxiliary,2,total,C0204.01,6,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,"Rental, hiring, & real estate services",1,total,C0204.01,33,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,"Professional, scientific, & technical services",1,total,C0204.01,120,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Computer systems design,2,total,C0204.01,15,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Other professional scientific,2,total,C0204.01,108,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Administrative & support services,1,total,C0204.01,63,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Education & training,1,total,C0204.01,75,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Health care & social assistance,1,total,C0204.01,45,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Arts & recreation services,1,total,C0204.01,27,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,Other services,1,total,C0204.01,3,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: not important,total,0,total,C0204.01,1530,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,total,0,6019 employees,C0204.02,1239,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of delivery of goods and services to customers: a little important,total,0,20049 employees,C0204.02,198,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of delivery of goods and services to customers: a little important,total,0,50099 employees,C0204.02,63,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of delivery of goods and services to customers: a little important,total,0,100+ employees,C0204.02,42,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of delivery of goods and services to customers: a little important,"Agriculture, forestry, & fishing",1,total,C0204.02,177,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Agriculture,2,total,C0204.02,129,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Commercial fishing,2,total,C0204.02,3,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Forestry & logging,2,total,C0204.02,15,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,"Agriculture, forestry, & fishing support services",2,total,C0204.02,33,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Mining,1,total,C0204.02,6,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of delivery of goods and services to customers: a little important,Manufacturing,1,total,C0204.02,90,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,"Food, beverage, & tobacco",2,total,C0204.02,27,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,"Textile, clothing, footwear, & leather",2,total,C0204.02,3,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Wood & paper product,2,total,C0204.02,0,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,"Printing, publishing, & recorded media",2,total,C0204.02,3,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,"Petroleum, coal, chemical, & associated product",2,total,C0204.02,9,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Non-metallic mineral product,2,total,C0204.02,0,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Metal product,2,total,C0204.02,18,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Transport and industrial machinery & equipment,2,total,C0204.02,18,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Other machinery & equipment,2,total,C0204.02,0,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Other manufacturing,2,total,C0204.02,6,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,"Electricity, gas, water, & waste services",1,total,C0204.02,12,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of delivery of goods and services to customers: a little important,Construction,1,total,C0204.02,51,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Wholesale trade,1,total,C0204.02,42,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Machinery & equipment wholesaling,2,total,C0204.02,3,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Other wholesale trade,2,total,C0204.02,39,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Retail trade,1,total,C0204.02,291,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Accommodation & food services,1,total,C0204.02,420,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,"Transport, postal, & warehousing",1,total,C0204.02,27,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Information media & telecommunications,1,total,C0204.02,21,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Publishing,2,total,C0204.02,9,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Motion picture,2,total,C0204.02,6,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Telecommunications,2,total,C0204.02,3,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Financial & insurance services,1,total,C0204.02,27,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Finance,2,total,C0204.02,9,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Insurance,2,total,C0204.02,3,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Auxiliary,2,total,C0204.02,18,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,"Rental, hiring, & real estate services",1,total,C0204.02,30,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,"Professional, scientific, & technical services",1,total,C0204.02,144,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Computer systems design,2,total,C0204.02,27,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Other professional scientific,2,total,C0204.02,117,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Administrative & support services,1,total,C0204.02,69,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Education & training,1,total,C0204.02,72,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Health care & social assistance,1,total,C0204.02,21,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Arts & recreation services,1,total,C0204.02,6,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,Other services,1,total,C0204.02,36,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: a little important,total,0,total,C0204.02,1545,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,total,0,6019 employees,C0204.03,4134,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of delivery of goods and services to customers: moderately important,total,0,20049 employees,C0204.03,891,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of delivery of goods and services to customers: moderately important,total,0,50099 employees,C0204.03,240,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of delivery of goods and services to customers: moderately important,total,0,100+ employees,C0204.03,204,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of delivery of goods and services to customers: moderately important,"Agriculture, forestry, & fishing",1,total,C0204.03,591,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Agriculture,2,total,C0204.03,432,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Commercial fishing,2,total,C0204.03,18,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Forestry & logging,2,total,C0204.03,24,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,"Agriculture, forestry, & fishing support services",2,total,C0204.03,120,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Mining,1,total,C0204.03,21,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of delivery of goods and services to customers: moderately important,Manufacturing,1,total,C0204.03,648,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,"Food, beverage, & tobacco",2,total,C0204.03,117,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,"Textile, clothing, footwear, & leather",2,total,C0204.03,42,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Wood & paper product,2,total,C0204.03,63,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,"Printing, publishing, & recorded media",2,total,C0204.03,12,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,"Petroleum, coal, chemical, & associated product",2,total,C0204.03,51,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Non-metallic mineral product,2,total,C0204.03,12,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Metal product,2,total,C0204.03,180,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Transport and industrial machinery & equipment,2,total,C0204.03,126,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Other machinery & equipment,2,total,C0204.03,24,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Other manufacturing,2,total,C0204.03,21,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,"Electricity, gas, water, & waste services",1,total,C0204.03,18,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of delivery of goods and services to customers: moderately important,Construction,1,total,C0204.03,549,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Wholesale trade,1,total,C0204.03,285,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Machinery & equipment wholesaling,2,total,C0204.03,93,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Other wholesale trade,2,total,C0204.03,192,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Retail trade,1,total,C0204.03,492,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Accommodation & food services,1,total,C0204.03,1038,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,"Transport, postal, & warehousing",1,total,C0204.03,165,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Information media & telecommunications,1,total,C0204.03,54,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Publishing,2,total,C0204.03,21,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Motion picture,2,total,C0204.03,21,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Telecommunications,2,total,C0204.03,9,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Financial & insurance services,1,total,C0204.03,87,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Finance,2,total,C0204.03,33,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Insurance,2,total,C0204.03,6,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Auxiliary,2,total,C0204.03,51,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,"Rental, hiring, & real estate services",1,total,C0204.03,132,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,"Professional, scientific, & technical services",1,total,C0204.03,669,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Computer systems design,2,total,C0204.03,147,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Other professional scientific,2,total,C0204.03,525,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Administrative & support services,1,total,C0204.03,126,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Education & training,1,total,C0204.03,123,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Health care & social assistance,1,total,C0204.03,207,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Arts & recreation services,1,total,C0204.03,105,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,Other services,1,total,C0204.03,147,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: moderately important,total,0,total,C0204.03,5469,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,total,0,6019 employees,C0204.04,27684,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of delivery of goods and services to customers: very important,total,0,20049 employees,C0204.04,7167,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of delivery of goods and services to customers: very important,total,0,50099 employees,C0204.04,2136,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of delivery of goods and services to customers: very important,total,0,100+ employees,C0204.04,1782,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of delivery of goods and services to customers: very important,"Agriculture, forestry, & fishing",1,total,C0204.04,2205,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Agriculture,2,total,C0204.04,1311,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Commercial fishing,2,total,C0204.04,30,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Forestry & logging,2,total,C0204.04,189,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,"Agriculture, forestry, & fishing support services",2,total,C0204.04,675,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Mining,1,total,C0204.04,75,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of delivery of goods and services to customers: very important,Manufacturing,1,total,C0204.04,4488,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,"Food, beverage, & tobacco",2,total,C0204.04,1026,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,"Textile, clothing, footwear, & leather",2,total,C0204.04,198,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Wood & paper product,2,total,C0204.04,456,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,"Printing, publishing, & recorded media",2,total,C0204.04,177,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,"Petroleum, coal, chemical, & associated product",2,total,C0204.04,375,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Non-metallic mineral product,2,total,C0204.04,195,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Metal product,2,total,C0204.04,771,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Transport and industrial machinery & equipment,2,total,C0204.04,750,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Other machinery & equipment,2,total,C0204.04,207,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Other manufacturing,2,total,C0204.04,336,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,"Electricity, gas, water, & waste services",1,total,C0204.04,174,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of delivery of goods and services to customers: very important,Construction,1,total,C0204.04,6507,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Wholesale trade,1,total,C0204.04,2823,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Machinery & equipment wholesaling,2,total,C0204.04,837,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Other wholesale trade,2,total,C0204.04,1986,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Retail trade,1,total,C0204.04,4260,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Accommodation & food services,1,total,C0204.04,4596,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,"Transport, postal, & warehousing",1,total,C0204.04,1419,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Information media & telecommunications,1,total,C0204.04,360,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Publishing,2,total,C0204.04,144,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Motion picture,2,total,C0204.04,114,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Telecommunications,2,total,C0204.04,99,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Financial & insurance services,1,total,C0204.04,525,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Finance,2,total,C0204.04,135,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Insurance,2,total,C0204.04,27,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Auxiliary,2,total,C0204.04,363,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,"Rental, hiring, & real estate services",1,total,C0204.04,786,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,"Professional, scientific, & technical services",1,total,C0204.04,4134,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Computer systems design,2,total,C0204.04,777,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Other professional scientific,2,total,C0204.04,3360,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Administrative & support services,1,total,C0204.04,1512,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Education & training,1,total,C0204.04,873,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Health care & social assistance,1,total,C0204.04,2517,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Arts & recreation services,1,total,C0204.04,411,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,Other services,1,total,C0204.04,1095,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: very important,total,0,total,C0204.04,38772,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,total,0,6019 employees,C0204.05,1314,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of delivery of goods and services to customers: don't know,total,0,20049 employees,C0204.05,288,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of delivery of goods and services to customers: don't know,total,0,50099 employees,C0204.05,48,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of delivery of goods and services to customers: don't know,total,0,100+ employees,C0204.05,33,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of delivery of goods and services to customers: don't know,"Agriculture, forestry, & fishing",1,total,C0204.05,435,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Agriculture,2,total,C0204.05,309,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Commercial fishing,2,total,C0204.05,3,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Forestry & logging,2,total,C0204.05,18,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,"Agriculture, forestry, & fishing support services",2,total,C0204.05,105,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Mining,1,total,C0204.05,9,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of delivery of goods and services to customers: don't know,Manufacturing,1,total,C0204.05,87,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,"Food, beverage, & tobacco",2,total,C0204.05,27,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,"Textile, clothing, footwear, & leather",2,total,C0204.05,6,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Wood & paper product,2,total,C0204.05,0,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,"Printing, publishing, & recorded media",2,total,C0204.05,0,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,"Petroleum, coal, chemical, & associated product",2,total,C0204.05,12,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Non-metallic mineral product,2,total,C0204.05,3,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Metal product,2,total,C0204.05,18,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Transport and industrial machinery & equipment,2,total,C0204.05,18,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Other machinery & equipment,2,total,C0204.05,3,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Other manufacturing,2,total,C0204.05,0,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,"Electricity, gas, water, & waste services",1,total,C0204.05,3,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of delivery of goods and services to customers: don't know,Construction,1,total,C0204.05,282,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Wholesale trade,1,total,C0204.05,57,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Machinery & equipment wholesaling,2,total,C0204.05,3,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Other wholesale trade,2,total,C0204.05,51,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Retail trade,1,total,C0204.05,6,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Accommodation & food services,1,total,C0204.05,147,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,"Transport, postal, & warehousing",1,total,C0204.05,66,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Information media & telecommunications,1,total,C0204.05,21,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Publishing,2,total,C0204.05,12,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Motion picture,2,total,C0204.05,3,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Telecommunications,2,total,C0204.05,6,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Financial & insurance services,1,total,C0204.05,24,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Finance,2,total,C0204.05,15,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Insurance,2,total,C0204.05,0,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Auxiliary,2,total,C0204.05,9,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,"Rental, hiring, & real estate services",1,total,C0204.05,63,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,"Professional, scientific, & technical services",1,total,C0204.05,120,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Computer systems design,2,total,C0204.05,27,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Other professional scientific,2,total,C0204.05,96,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Administrative & support services,1,total,C0204.05,72,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Education & training,1,total,C0204.05,36,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Health care & social assistance,1,total,C0204.05,132,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Arts & recreation services,1,total,C0204.05,15,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,Other services,1,total,C0204.05,99,Number of businesses,1 and 2 and 3 and 6
Importance of delivery of goods and services to customers: don't know,total,0,total,C0204.05,1680,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,total,0,6019 employees,C0205.01,2328,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation: not important,total,0,20049 employees,C0205.01,510,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation: not important,total,0,50099 employees,C0205.01,108,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation: not important,total,0,100+ employees,C0205.01,96,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation: not important,"Agriculture, forestry, & fishing",1,total,C0205.01,441,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Agriculture,2,total,C0205.01,288,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Commercial fishing,2,total,C0205.01,9,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Forestry & logging,2,total,C0205.01,30,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,"Agriculture, forestry, & fishing support services",2,total,C0205.01,117,Number of businesses,1 and 2 and 3 and 6
Importance of innovation: not important,Mining,1,total,C0205.01,24,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of innovation: not important,Manufacturing,1,total,C0205.01,165,Number of businesses,1 and 2 and 3 and 6
